word,prob,timepoint,k,sort
alternative,0.005,9,0,94
tariff,0.005,9,0,95
comp,0.003,9,0,96
pipe,0.003,9,0,97
loan,0.003,9,0,98
tool,0.003,9,0,99
currency,0.006,10,0,100
link,0.006,10,0,101
objective,0.006,10,0,102
staff,0.006,10,0,103
layer,0.004,10,0,104
hedge,0.004,10,0,105
behavior,0.004,10,0,106
loan,0.004,10,0,107
attention,0.004,10,0,108
outflow,0.004,10,0,109
merger,0.007,11,0,110
discount,0.005,11,0,111
son,0.005,11,0,112
play,0.005,11,0,113
crisis,0.004,11,0,114
discip,0.004,11,0,115
profile,0.004,11,0,116
office,0.004,11,0,117
forecast,0.004,11,0,118
count,0.004,11,0,119
retro,0.008,12,0,120
surplus,0.006,12,0,121
reservation,0.006,12,0,122
goal,0.006,12,0,123
discip,0.005,12,0,124
ambition,0.005,12,0,125
prut,0.005,12,0,126
evolution,0.005,12,0,127
telematics,0.005,12,0,128
facility,0.005,12,0,129
bulk,0.008,13,0,130
store,0.006,13,0,131
press,0.005,13,0,132
hurdle,0.004,13,0,133
compensation,0.004,13,0,134
form,0.004,13,0,135
productivity,0.004,13,0,136
nursing,0.004,13,0,137
consumer,0.003,13,0,138
advice,0.003,13,0,139
euro,0.008,14,0,140
strategy,0.006,14,0,141
curve,0.006,14,0,142
analytic,0.004,14,0,143
bulk,0.004,14,0,144
objective,0.004,14,0,145
choice,0.004,14,0,146
diversification,0.004,14,0,147
approval,0.004,14,0,148
match,0.004,14,0,149
proposition,0.007,15,0,150
insight,0.006,15,0,151
unwriter,0.005,15,0,152
friend,0.005,15,0,153
forecast,0.005,15,0,154
discip,0.005,15,0,155
goal,0.005,15,0,156
disability,0.005,15,0,157
advice,0.004,15,0,158
score,0.004,15,0,159
category,0.006,16,0,160
diversification,0.006,16,0,161
currency,0.005,16,0,162
carrier,0.005,16,0,163
eﬃciency,0.005,16,0,164
profile,0.003,16,0,165
project,0.003,16,0,166
effort,0.003,16,0,167
buffer,0.003,16,0,168
intention,0.003,16,0,169
merger,0.004,17,0,170
resource,0.004,17,0,171
buyer,0.004,17,0,172
decade,0.004,17,0,173
governance,0.004,17,0,174
house,0.003,17,0,175
exchange,0.003,17,0,176
transitional,0.003,17,0,177
reinsurer,0.003,17,0,178
energy,0.003,17,0,179
transitional,0.005,18,0,180
employee,0.005,18,0,181
injury,0.005,18,0,182
possibility,0.005,18,0,183
conclusion,0.005,18,0,184
niche,0.005,18,0,185
unwriter,0.003,18,0,186
consumer,0.003,18,0,187
house,0.003,18,0,188
insight,0.003,18,0,189
resource,0.004,19,0,190
proﬁtability,0.003,19,0,191
ﬂow,0.003,19,0,192
hold,0.003,19,0,193
diversification,0.003,19,0,194
unstanding,0.003,19,0,195
infrastructure,0.003,19,0,196
split,0.003,19,0,197
form,0.003,19,0,198
pipe,0.003,19,0,199
subsidiary,0.006,20,0,200
surplus,0.006,20,0,201
bulk,0.006,20,0,202
treaty,0.006,20,0,203
approval,0.006,20,0,204
function,0.006,20,0,205
ambition,0.006,20,0,206
aggregate,0.006,20,0,207
injury,0.006,20,0,208
histoal,0.006,20,0,209
ﬂow,0.004,21,0,210
disposal,0.004,21,0,211
hedge,0.003,21,0,212
proposition,0.003,21,0,213
success,0.003,21,0,214
function,0.003,21,0,215
set,0.003,21,0,216
meeting,0.003,21,0,217
coal,0.003,21,0,218
network,0.003,21,0,219
proposition,0.005,22,0,220
set,0.005,22,0,221
curve,0.004,22,0,222
loan,0.004,22,0,223
comparison,0.004,22,0,224
evolution,0.004,22,0,225
block,0.004,22,0,226
proportion,0.004,22,0,227
decade,0.004,22,0,228
beneﬁts,0.004,22,0,229
son,0.005,23,0,230
productivity,0.004,23,0,231
advisor,0.003,23,0,232
diversification,0.003,23,0,233
hedge,0.003,23,0,234
seasonality,0.003,23,0,235
severity,0.003,23,0,236
ﬂow,0.003,23,0,237
comparison,0.003,23,0,238
proposal,0.003,23,0,239
cyber,0.004,24,0,240
methodology,0.004,24,0,241
discount,0.003,24,0,242
payout,0.003,24,0,243
colleague,0.003,24,0,244
transparency,0.003,24,0,245
loan,0.003,24,0,246
treaty,0.003,24,0,247
drag,0.003,24,0,248
surplus,0.003,24,0,249
integration,0.024,25,0,250
drag,0.024,25,0,251
restructure,0.024,25,0,252
drop,0.024,25,0,253
household,0.024,25,0,254
cong,0.024,25,0,255
obligation,0.024,25,0,256
mode,0.024,25,0,257
characteristic,0.024,25,0,258
k,0.024,25,0,259
injury,0.004,26,0,260
relation,0.004,26,0,261
ambition,0.004,26,0,262
disability,0.004,26,0,263
banking,0.004,26,0,264
legacy,0.004,26,0,265
ipo,0.004,26,0,266
offset,0.004,26,0,267
manner,0.004,26,0,268
subsidiary,0.002,26,0,269
framework,0.025,27,0,270
cyber,0.013,27,0,271
role,0.013,27,0,272
access,0.013,27,0,273
press,0.013,27,0,274
territory,0.013,27,0,275
advice,0.013,27,0,276
chain,0.013,27,0,277
buyer,0.013,27,0,278
foundation,0.013,27,0,279
remittance,0.006,28,0,280
vehicle,0.006,28,0,281
reform,0.004,28,0,282
co,0.004,28,0,283
surplus,0.004,28,0,284
oﬀs,0.004,28,0,285
category,0.004,28,0,286
unwriter,0.003,28,0,287
possibility,0.003,28,0,288
relet,0.003,28,0,289
function,0.006,29,0,290
projection,0.005,29,0,291
pattern,0.005,29,0,292
policyhol,0.005,29,0,293
care,0.004,29,0,294
possibility,0.004,29,0,295
press,0.004,29,0,296
winter,0.004,29,0,297
profile,0.004,29,0,298
execution,0.004,29,0,299
consumer,0.004,30,0,300
treaty,0.004,30,0,301
evolution,0.004,30,0,302
reform,0.003,30,0,303
loan,0.003,30,0,304
severity,0.003,30,0,305
project,0.003,30,0,306
transfer,0.003,30,0,307
axis,0.003,30,0,308
tool,0.003,30,0,309
migration,0.005,31,0,310
comp,0.004,31,0,311
proposition,0.003,31,0,312
disability,0.003,31,0,313
momentum,0.003,31,0,314
hedge,0.003,31,0,315
wheel,0.003,31,0,316
strain,0.003,31,0,317
consolidation,0.003,31,0,318
redistribution,0.003,31,0,319
cyber,0.004,32,0,320
remittance,0.004,32,0,321
ﬂow,0.003,32,0,322
relet,0.003,32,0,323
disclosure,0.003,32,0,324
employee,0.003,32,0,325
comp,0.002,32,0,326
man,0.002,32,0,327
diversiﬁcation,0.002,32,0,328
transformation,0.002,32,0,329
resolution,0.028,33,0,330
deterioration,0.028,33,0,331
infrastructure,0.028,33,0,332
selection,0.028,33,0,333
deployment,0.028,33,0,334
winter,0.028,33,0,335
stup,0.028,33,0,336
ﬁeld,0.028,33,0,337
individual,0.028,33,0,338
bef,0.028,33,0,339
profile,0.008,34,0,340
severity,0.006,34,0,341
d,0.006,34,0,342
ship,0.006,34,0,343
remittance,0.004,34,0,344
buffer,0.004,34,0,345
message,0.004,34,0,346
curve,0.004,34,0,347
diﬀerence,0.004,34,0,348
mos,0.004,34,0,349
treaty,0.004,35,0,350
payout,0.004,35,0,351
disaster,0.004,35,0,352
climate,0.004,35,0,353
proposition,0.004,35,0,354
forecast,0.004,35,0,355
aggregate,0.004,35,0,356
discip,0.004,35,0,357
diversification,0.003,35,0,358
effort,0.003,35,0,359
strain,0.01,36,0,360
hedging,0.005,36,0,361
regime,0.005,36,0,362
face,0.005,36,0,363
ambition,0.005,36,0,364
hip,0.005,36,0,365
proﬁtability,0.004,36,0,366
valuation,0.004,36,0,367
feel,0.004,36,0,368
journey,0.004,36,0,369
lockdown,0.011,37,0,370
integration,0.011,37,0,371
individual,0.011,37,0,372
administration,0.011,37,0,373
drop,0.006,37,0,374
loan,0.006,37,0,375
circumstance,0.006,37,0,376
buffer,0.006,37,0,377
discount,0.006,37,0,378
hedging,0.006,37,0,379
light,0.007,38,0,380
proﬁtability,0.007,38,0,381
hold,0.007,38,0,382
proportion,0.007,38,0,383
projection,0.007,38,0,384
peak,0.007,38,0,385
signal,0.007,38,0,386
discip,0.007,38,0,387
regime,0.007,38,0,388
provis,0.007,38,0,389
lockdown,0.006,39,0,390
care,0.006,39,0,391
role,0.006,39,0,392
legacy,0.006,39,0,393
crisis,0.004,39,0,394
priority,0.004,39,0,395
interruption,0.004,39,0,396
framework,0.004,39,0,397
diversification,0.004,39,0,398
proﬁtability,0.004,39,0,399
lockdown,0.01,40,0,400
comp,0.01,40,0,401
block,0.01,40,0,402
infrastructure,0.01,40,0,403
discip,0.01,40,0,404
matter,0.01,40,0,405
mos,0.01,40,0,406
history,0.01,40,0,407
vehicle,0.01,40,0,408
expansion,0.01,40,0,409
proposal,0.009,41,0,410
travel,0.006,41,0,411
objective,0.006,41,0,412
ﬂow,0.006,41,0,413
path,0.006,41,0,414
behavior,0.006,41,0,415
attention,0.006,41,0,416
explanation,0.006,41,0,417
staff,0.006,41,0,418
recommendation,0.006,41,0,419
employee,0.016,42,0,420
lockdown,0.016,42,0,421
settlement,0.016,42,0,422
treaty,0.016,42,0,423
role,0.016,42,0,424
resource,0.016,42,0,425
hedge,0.016,42,0,426
disclosure,0.016,42,0,427
consiation,0.016,42,0,428
approval,0.016,42,0,429
standard,0.011,43,0,430
severity,0.005,43,0,431
employee,0.005,43,0,432
repair,0.005,43,0,433
building,0.005,43,0,434
ebit,0.005,43,0,435
expansion,0.005,43,0,436
mobility,0.005,43,0,437
alternative,0.005,43,0,438
path,0.005,43,0,439
ﬁgure,0.013,0,1,0
bucket,0.013,0,1,1
possibility,0.01,0,1,2
currency,0.006,0,1,3
loan,0.006,0,1,4
category,0.006,0,1,5
block,0.006,0,1,6
attrition,0.006,0,1,7
doubt,0.006,0,1,8
eﬃcient,0.006,0,1,9
trust,0.009,1,1,10
ehquake,0.007,1,1,11
yen,0.007,1,1,12
incentive,0.007,1,1,13
gold,0.007,1,1,14
behavior,0.007,1,1,15
remuneration,0.004,1,1,16
energy,0.004,1,1,17
power,0.004,1,1,18
repurchase,0.004,1,1,19
energy,0.014,2,1,20
ebit,0.014,2,1,21
hedge,0.009,2,1,22
telematic,0.009,2,1,23
office,0.009,2,1,24
tension,0.009,2,1,25
ambition,0.009,2,1,26
truth,0.009,2,1,27
attention,0.009,2,1,28
eﬀort,0.009,2,1,29
diversification,0.014,3,1,30
evice,0.01,3,1,31
impairment,0.007,3,1,32
ehquake,0.007,3,1,33
injury,0.007,3,1,34
energy,0.007,3,1,35
analysis,0.007,3,1,36
meet,0.007,3,1,37
revision,0.007,3,1,38
press,0.007,3,1,39
impairment,0.009,4,1,40
intention,0.006,4,1,41
flexibility,0.006,4,1,42
evolution,0.006,4,1,43
disposal,0.006,4,1,44
shape,0.006,4,1,45
regime,0.006,4,1,46
conclusion,0.006,4,1,47
project,0.006,4,1,48
ambition,0.006,4,1,49
jpyb,0.008,5,1,50
phase,0.008,5,1,51
standpoint,0.008,5,1,52
employee,0.006,5,1,53
newspaper,0.006,5,1,54
ehquake,0.006,5,1,55
legislation,0.006,5,1,56
impairment,0.004,5,1,57
definition,0.004,5,1,58
curve,0.004,5,1,59
runoff,0.015,6,1,60
impairment,0.01,6,1,61
discount,0.01,6,1,62
consequence,0.01,6,1,63
diﬃcult,0.01,6,1,64
hire,0.01,6,1,65
building,0.005,6,1,66
vehicle,0.005,6,1,67
assessment,0.005,6,1,68
downside,0.005,6,1,69
vehicle,0.009,7,1,70
allowance,0.009,7,1,71
purpose,0.009,7,1,72
yen,0.006,7,1,73
phi,0.006,7,1,74
retro,0.006,7,1,75
path,0.006,7,1,76
storm,0.006,7,1,77
road,0.006,7,1,78
flood,0.006,7,1,79
loan,0.008,8,1,80
goal,0.008,8,1,81
unwriter,0.008,8,1,82
corridor,0.008,8,1,83
buffer,0.005,8,1,84
comparison,0.005,8,1,85
meet,0.005,8,1,86
season,0.005,8,1,87
k,0.005,8,1,88
plenty,0.005,8,1,89
selection,0.006,9,1,90
account,0.006,9,1,91
loan,0.004,9,1,92
expansion,0.004,9,1,93
house,0.004,9,1,94
reform,0.004,9,1,95
homeowner,0.004,9,1,96
shape,0.004,9,1,97
dec,0.004,9,1,98
aspect,0.004,9,1,99
function,0.008,10,1,100
crisis,0.006,10,1,101
goal,0.006,10,1,102
curve,0.006,10,1,103
presence,0.006,10,1,104
portion,0.004,10,1,105
proposition,0.004,10,1,106
link,0.004,10,1,107
advisor,0.004,10,1,108
effort,0.004,10,1,109
crisis,0.007,11,1,110
portion,0.007,11,1,111
house,0.007,11,1,112
consumer,0.006,11,1,113
advisor,0.006,11,1,114
choice,0.006,11,1,115
proportion,0.006,11,1,116
appreciation,0.006,11,1,117
merger,0.004,11,1,118
buffer,0.004,11,1,119
crisis,0.008,12,1,120
loan,0.005,12,1,121
diversification,0.005,12,1,122
middle,0.005,12,1,123
surplus,0.003,12,1,124
remittance,0.003,12,1,125
behavior,0.003,12,1,126
choice,0.003,12,1,127
pipe,0.003,12,1,128
drop,0.003,12,1,129
gas,0.006,13,1,130
owner,0.006,13,1,131
currency,0.004,13,1,132
bulk,0.004,13,1,133
consumer,0.004,13,1,134
form,0.004,13,1,135
solicitation,0.004,13,1,136
disclosure,0.004,13,1,137
discip,0.004,13,1,138
pius,0.004,13,1,139
unwriter,0.006,14,1,140
solicitation,0.006,14,1,141
payout,0.006,14,1,142
ﬁgure,0.006,14,1,143
attention,0.006,14,1,144
employee,0.004,14,1,145
loan,0.004,14,1,146
conclusion,0.004,14,1,147
pipe,0.004,14,1,148
message,0.004,14,1,149
midterm,0.006,15,1,150
unwriter,0.005,15,1,151
tool,0.005,15,1,152
consumer,0.004,15,1,153
friend,0.004,15,1,154
lever,0.004,15,1,155
automobile,0.004,15,1,156
score,0.004,15,1,157
proposition,0.003,15,1,158
bulk,0.003,15,1,159
hedge,0.006,16,1,160
energy,0.006,16,1,161
goodwill,0.005,16,1,162
reinsurer,0.004,16,1,163
consiation,0.004,16,1,164
lifetime,0.004,16,1,165
unwriter,0.003,16,1,166
currency,0.003,16,1,167
profile,0.003,16,1,168
surplus,0.003,16,1,169
currency,0.006,17,1,170
forecast,0.005,17,1,171
panel,0.004,17,1,172
merger,0.004,17,1,173
energy,0.004,17,1,174
form,0.004,17,1,175
meeting,0.004,17,1,176
maturity,0.004,17,1,177
transition,0.003,17,1,178
integration,0.003,17,1,179
transitional,0.007,18,1,180
payout,0.006,18,1,181
bolt,0.005,18,1,182
consumer,0.004,18,1,183
choice,0.004,18,1,184
minute,0.004,18,1,185
intention,0.004,18,1,186
formula,0.003,18,1,187
form,0.003,18,1,188
project,0.003,18,1,189
proﬁtability,0.003,19,1,190
buﬀer,0.003,19,1,191
colleague,0.003,19,1,192
eﬃciency,0.003,19,1,193
approval,0.003,19,1,194
effort,0.003,19,1,195
diﬀerence,0.003,19,1,196
diﬃcult,0.003,19,1,197
hold,0.003,19,1,198
success,0.003,19,1,199
authority,0.006,20,1,200
transfer,0.006,20,1,201
maturity,0.006,20,1,202
procedure,0.006,20,1,203
financing,0.006,20,1,204
law,0.006,20,1,205
prediction,0.006,20,1,206
umbrella,0.006,20,1,207
interruption,0.006,20,1,208
energy,0.003,20,1,209
oil,0.004,21,1,210
currency,0.004,21,1,211
gaap,0.004,21,1,212
minute,0.004,21,1,213
beneﬁts,0.004,21,1,214
fleet,0.004,21,1,215
ﬂow,0.003,21,1,216
energy,0.003,21,1,217
proposition,0.003,21,1,218
buffer,0.003,21,1,219
reinsurer,0.006,22,1,220
curve,0.005,22,1,221
surplus,0.005,22,1,222
flood,0.005,22,1,223
pipe,0.005,22,1,224
game,0.005,22,1,225
proposition,0.003,22,1,226
loan,0.003,22,1,227
ﬂow,0.003,22,1,228
franchise,0.003,22,1,229
standard,0.005,23,1,230
beneﬁt,0.005,23,1,231
strategy,0.005,23,1,232
tool,0.004,23,1,233
diversification,0.004,23,1,234
ﬂow,0.004,23,1,235
saving,0.004,23,1,236
severity,0.004,23,1,237
care,0.004,23,1,238
uptick,0.004,23,1,239
surplus,0.004,24,1,240
restructure,0.004,24,1,241
reinsurer,0.003,24,1,242
buffer,0.003,24,1,243
sign,0.003,24,1,244
approval,0.003,24,1,245
drag,0.003,24,1,246
maturity,0.003,24,1,247
split,0.003,24,1,248
valuation,0.003,24,1,249
assessment,0.063,25,1,250
resse,0.063,25,1,251
precision,0.063,25,1,252
pocket,0.063,25,1,253
motion,0.063,25,1,254
peso,0.063,25,1,255
lawyer,0.063,25,1,256
removal,0.063,25,1,257
meeting,0.0,25,1,258
member,0.0,25,1,259
objective,0.006,26,1,260
selection,0.006,26,1,261
fleet,0.006,26,1,262
buffer,0.004,26,1,263
solicitation,0.004,26,1,264
saving,0.004,26,1,265
light,0.004,26,1,266
center,0.004,26,1,267
furnish,0.004,26,1,268
injury,0.004,26,1,269
repair,0.02,27,1,270
innovation,0.01,27,1,271
panel,0.01,27,1,272
reinsurer,0.01,27,1,273
retro,0.01,27,1,274
light,0.01,27,1,275
awareness,0.01,27,1,276
inflow,0.01,27,1,277
shape,0.01,27,1,278
pillar,0.01,27,1,279
remittance,0.006,28,1,280
furnish,0.003,28,1,281
relet,0.003,28,1,282
aspect,0.003,28,1,283
role,0.003,28,1,284
picipation,0.003,28,1,285
vision,0.003,28,1,286
reform,0.002,28,1,287
possibility,0.002,28,1,288
lifetime,0.002,28,1,289
ebit,0.004,29,1,290
function,0.003,29,1,291
severity,0.003,29,1,292
member,0.003,29,1,293
valuation,0.003,29,1,294
fluctuation,0.003,29,1,295
correlation,0.003,29,1,296
effort,0.002,29,1,297
winter,0.002,29,1,298
quota,0.002,29,1,299
comp,0.006,30,1,300
venture,0.005,30,1,301
press,0.003,30,1,302
reinsurer,0.003,30,1,303
treaty,0.003,30,1,304
hurane,0.003,30,1,305
quota,0.003,30,1,306
house,0.003,30,1,307
age,0.003,30,1,308
subsidiary,0.003,30,1,309
disability,0.006,31,1,310
loan,0.005,31,1,311
impairment,0.005,31,1,312
graph,0.004,31,1,313
yesterday,0.004,31,1,314
possibility,0.003,31,1,315
productivity,0.003,31,1,316
choice,0.003,31,1,317
center,0.003,31,1,318
success,0.003,31,1,319
wildfire,0.004,32,1,320
comp,0.003,32,1,321
ﬂow,0.003,32,1,322
payout,0.003,32,1,323
transformation,0.003,32,1,324
innovation,0.003,32,1,325
loan,0.003,32,1,326
cyber,0.002,32,1,327
quota,0.002,32,1,328
relet,0.002,32,1,329
wealth,0.033,33,1,330
material,0.033,33,1,331
oil,0.033,33,1,332
governance,0.033,33,1,333
benchmark,0.033,33,1,334
bridge,0.033,33,1,335
food,0.033,33,1,336
repurchase,0.033,33,1,337
document,0.033,33,1,338
resttion,0.033,33,1,339
loan,0.007,34,1,340
prut,0.007,34,1,341
bonus,0.004,34,1,342
policyhol,0.004,34,1,343
disclosure,0.004,34,1,344
network,0.004,34,1,345
surplus,0.004,34,1,346
lea,0.004,34,1,347
house,0.004,34,1,348
downgrade,0.004,34,1,349
confice,0.007,35,1,350
projection,0.006,35,1,351
porate,0.006,35,1,352
function,0.003,35,1,353
comp,0.003,35,1,354
stress,0.003,35,1,355
framework,0.003,35,1,356
cyber,0.003,35,1,357
success,0.003,35,1,358
reinsurer,0.003,35,1,359
hedge,0.005,36,1,360
momentum,0.005,36,1,361
cancellation,0.005,36,1,362
definition,0.005,36,1,363
consequence,0.005,36,1,364
press,0.005,36,1,365
remittance,0.003,36,1,366
treaty,0.003,36,1,367
travel,0.003,36,1,368
strain,0.003,36,1,369
agenda,0.01,37,1,370
framework,0.01,37,1,371
energy,0.01,37,1,372
projection,0.01,37,1,373
colleague,0.01,37,1,374
lockdown,0.005,37,1,375
travel,0.005,37,1,376
employee,0.005,37,1,377
compensation,0.005,37,1,378
prut,0.005,37,1,379
drop,0.008,38,1,380
tool,0.008,38,1,381
portion,0.008,38,1,382
stance,0.008,38,1,383
proposal,0.008,38,1,384
presence,0.008,38,1,385
crisis,0.004,38,1,386
lockdown,0.004,38,1,387
momentum,0.004,38,1,388
recovery,0.004,38,1,389
flexibility,0.007,39,1,390
wave,0.005,39,1,391
saving,0.005,39,1,392
matter,0.005,39,1,393
ambition,0.003,39,1,394
session,0.003,39,1,395
confice,0.003,39,1,396
severity,0.003,39,1,397
venture,0.003,39,1,398
franchise,0.003,39,1,399
pandemic,0.004,40,1,400
lockdown,0.003,40,1,401
momentum,0.003,40,1,402
prut,0.003,40,1,403
comp,0.003,40,1,404
diversification,0.002,40,1,405
buffer,0.002,40,1,406
retail,0.002,40,1,407
aggregate,0.002,40,1,408
drag,0.002,40,1,409
meeting,0.004,41,1,410
proposal,0.003,41,1,411
audit,0.003,41,1,412
remuneration,0.003,41,1,413
pandemic,0.002,41,1,414
agenda,0.002,41,1,415
member,0.002,41,1,416
t,0.002,41,1,417
meet,0.002,41,1,418
valuation,0.002,41,1,419
severity,0.004,42,1,420
advisor,0.004,42,1,421
pandemic,0.003,42,1,422
cyber,0.003,42,1,423
proposition,0.002,42,1,424
momentum,0.002,42,1,425
lockdown,0.002,42,1,426
material,0.002,42,1,427
flood,0.002,42,1,428
pipe,0.002,42,1,429
severity,0.004,43,1,430
pandemic,0.003,43,1,431
ebit,0.003,43,1,432
diversification,0.002,43,1,433
care,0.002,43,1,434
network,0.002,43,1,435
comp,0.002,43,1,436
ambition,0.002,43,1,437
session,0.002,43,1,438
repair,0.002,43,1,439
study,0.009,0,2,0
hedge,0.006,0,2,1
ehquake,0.006,0,2,2
discip,0.006,0,2,3
age,0.006,0,2,4
default,0.006,0,2,5
consequence,0.006,0,2,6
discount,0.006,0,2,7
curve,0.006,0,2,8
exam,0.006,0,2,9
ehquake,0.012,1,2,10
gold,0.009,1,2,11
winter,0.006,1,2,12
maturity,0.006,1,2,13
qbe,0.006,1,2,14
employee,0.006,1,2,15
material,0.006,1,2,16
machine,0.006,1,2,17
oil,0.006,1,2,18
tornado,0.006,1,2,19
crisis,0.015,2,2,20
comparison,0.01,2,2,21
post,0.01,2,2,22
co,0.01,2,2,23
remark,0.01,2,2,24
reform,0.01,2,2,25
difficulty,0.01,2,2,26
forex,0.01,2,2,27
energy,0.005,2,2,28
hedge,0.005,2,2,29
impairment,0.013,3,2,30
energy,0.009,3,2,31
disaster,0.009,3,2,32
surplus,0.009,3,2,33
disclosure,0.009,3,2,34
buffer,0.009,3,2,35
severity,0.009,3,2,36
attention,0.009,3,2,37
typhoon,0.009,3,2,38
zone,0.009,3,2,39
gilt,0.009,4,2,40
pattern,0.006,4,2,41
lapse,0.006,4,2,42
employer,0.006,4,2,43
explanation,0.006,4,2,44
post,0.006,4,2,45
picipant,0.006,4,2,46
history,0.006,4,2,47
variation,0.006,4,2,48
tomorrow,0.006,4,2,49
float,0.008,5,2,50
diversification,0.006,5,2,51
employee,0.004,5,2,52
proposition,0.004,5,2,53
wind,0.004,5,2,54
railroad,0.004,5,2,55
ehquake,0.004,5,2,56
stake,0.004,5,2,57
chance,0.004,5,2,58
utility,0.004,5,2,59
loan,0.013,6,2,60
crop,0.009,6,2,61
priority,0.009,6,2,62
reinstatement,0.009,6,2,63
ﬂow,0.009,6,2,64
split,0.009,6,2,65
employee,0.004,6,2,66
difficulty,0.004,6,2,67
discount,0.004,6,2,68
assessment,0.004,6,2,69
automobile,0.014,7,2,70
payout,0.01,7,2,71
merger,0.007,7,2,72
disaster,0.007,7,2,73
concentration,0.007,7,2,74
repair,0.007,7,2,75
funding,0.007,7,2,76
hedge,0.007,7,2,77
tradeoff,0.007,7,2,78
turnover,0.007,7,2,79
advisor,0.006,8,2,80
maturity,0.004,8,2,81
injury,0.004,8,2,82
surplus,0.004,8,2,83
default,0.004,8,2,84
observation,0.004,8,2,85
supply,0.004,8,2,86
relet,0.004,8,2,87
scrip,0.004,8,2,88
matter,0.004,8,2,89
comp,0.006,9,2,90
employee,0.006,9,2,91
picipation,0.006,9,2,92
integration,0.004,9,2,93
expansion,0.004,9,2,94
goal,0.004,9,2,95
effort,0.004,9,2,96
season,0.004,9,2,97
possibility,0.004,9,2,98
forecast,0.004,9,2,99
comparison,0.006,10,2,100
t,0.006,10,2,101
tariﬀs,0.006,10,2,102
homeowner,0.006,10,2,103
hedge,0.004,10,2,104
loan,0.004,10,2,105
clarity,0.004,10,2,106
buffer,0.004,10,2,107
adequacy,0.004,10,2,108
pace,0.004,10,2,109
behavior,0.008,11,2,110
crisis,0.006,11,2,111
hedge,0.005,11,2,112
portion,0.005,11,2,113
curve,0.005,11,2,114
currency,0.005,11,2,115
office,0.005,11,2,116
summer,0.005,11,2,117
proposition,0.003,11,2,118
buffer,0.003,11,2,119
storm,0.007,12,2,120
trajectory,0.007,12,2,121
aggregator,0.007,12,2,122
strain,0.005,12,2,123
expansion,0.005,12,2,124
equation,0.005,12,2,125
reinsurer,0.004,12,2,126
buffer,0.004,12,2,127
pipe,0.004,12,2,128
care,0.004,12,2,129
percent,0.007,13,2,130
currency,0.006,13,2,131
bulk,0.005,13,2,132
pipe,0.005,13,2,133
power,0.005,13,2,134
office,0.005,13,2,135
diversification,0.005,13,2,136
utility,0.005,13,2,137
unwriter,0.004,13,2,138
quote,0.004,13,2,139
consumer,0.005,14,2,140
expertise,0.005,14,2,141
remittance,0.005,14,2,142
proposition,0.003,14,2,143
tool,0.003,14,2,144
goal,0.003,14,2,145
project,0.003,14,2,146
hedge,0.003,14,2,147
