company_paticipants_list
& Ireland General Insurance
(UK) Limted
Bart Karel De Smet
Bart Karel de Smet
Barth Scholten
Beat Mueller
Beat Muller
Becker-Hussong
Becki Amick
Belinda Hutchinson
Belinda Hutchinson AM
Ben Bulmer
Ben Coumans
Ben J. Noteboom
Ben Noteboom
Ben Walter
Benjamin A Walter
Benjamin Gentsch
Benoît Claveranne
Bernd Pischetsrieder
Bernhard Kaufmann
Bernie Hickman
Bertrand Bougon
Bertrand Poupart-Lafarge
Beth A. Costello
Beth Ann Bombara
Beth Ann Bombara-Costello
Beth Bombara
Beth Bombara Costello
Beth Costello
Beth Farrell
Bieke Debruyne
Bill Heyman
Bill Hughes
Bjorn Wahlroos
Blair Turnbull
Board
Board of Aegon N.V.
Board of Management of ER Group AG
Bob Campbell
Bob Qutub
Brad Harris
Brad Martin
Bradley Paul L. Martin
Brett Shirreffs
Brian Charles Duperreault
Brian Dowd
Brian Duperreault
Brian MacLean
Brian Meredith
Brian W. MacLean
Brian William MacLean
Brian Young
Brion Scott Johnson
Brock Robbins
Brona Magee
Bronek Masojada
Bruno Latourrette
Bruno Servant
Business
Business Unit
Byron Hindle
C. Michiel van Katwijk
C. Van der Pol
Camillo Greco
Carsten Stolz
Catharina Elisabeth Hellerud
Catharina Hellerud
Cecilia Reyes
Cecilie Ditlev-Simonsen
Chad M. Rakvin
Chad Myers
Chantal Waight
Charles Brindamour
Charles F. Lowrey
Charles Gregson
Charles Irby
Charles Lowrey
Charles Mathias
Charles Munger
Charles T. Munger
Charles Thomas Munger
Charlie Lowrey
Charlie Mathias
Charlie Munger
Cheryl Agius
Chief Digitalization Officer
Chief Executive Officer
Chief Financial Oﬃcer
Chief Underwriting Officer of Property
Chris Esson
Chris Figee
Chris Gilmour
Chris H. Figee
Chris Hayes
Chris J. Esson
Chris Knight
Chris Schaper
Chris Swift
Chris Wei
Christian Baltzer
Christian Becker Hussong
Christian Becker-Hussong
Christian Boris Baltzer
Christian Mumenthaler
Christian Sagild
Christine F. Deputy
Christof Mascher
Christoph Jurecka
Christophe Boizard
Christopher B. Wei
Christopher Brian Wei
Christopher Campbell
Christopher Esson
Christopher George Townsend
Christopher Gilmour
Christopher J. B. Williams
Christopher J. Swift
Christopher Jerome Swift
Christopher John Swift
Christopher Schaper
Christopher Shaw Gibson-Smith
Christopher Swift
Claire Hawkins
Claire Le Gall-Robinson
Clare Bousfield
Clare Jane Bousfield
Claude Chevre
Claude Jacques Chevre
Claude Jacques ChÃ¨vre
Claudia Dill
Clemens Jungsthofel
Clifford Abrahams
Clive Andrew Washbourn
Clive Bannister
Clive Bolton
Clive C R Bannister
Clive Christopher Roger Bannister
Cliﬀord Abrahams
Colin Fagen
Colin Graham
Colin Simpson
Colm Holmes
Colm J. Holmes
Commercial
Commercial and Personal Insurance
Committee
Company Limited
Company Limited'
Compliance Dept and Chief Risk Officer
Conny Kalcher
Constantine Iordanou
Constantine P. Iordanou
Controlling
Cor H. van den Bos
Corien M. Wortmann-Kool
Corinne Trocellier
Corp
Corporate Business
Corporate Business & Director
Corporate Participant
Corporation Asia
Costantino Moretti
Country Head-Ageas Portugal
Craig Comeaux
Craig Fundum
Craig Gentle
Craig Gordon Gentle
Craig Howie
Craig W. Howie
Craig William Howie
Cristiano Borean
Cristina Nestares
CÃ©line Soubranne
Daisaku Honda
Daljitt Barn
Damien Vincent Marmion
Dan Frey
Dan Ryan
Dana Lodge
Daniel Jaksich
Daniel S. Frey
Daniel Signer
Daniel Sundahl
Darin Arita
Darren Christopher Godfrey
Darren Godfrey
Darren Redhead
Darryl Button
Darryl D. Button
Dave Bonham
Dave Pauli
Dave Paulsen
David A. Cole
David Alan Cole
David Andrew Horton
David Barral
David Bellamy
David Bonham
David C. Robinson
David Charles Bellamy
David Cole
David Cooper
David D. Rowland
David E. Knibbe
David G. Stevens
David Gansberg
David Graham Stevens
David Horton
David J. Bonham
David James Bonham
David John Lamb
David K. Zwiener
David Knibbe
David Lamb
David Louis Richardson
David Macmillan
David McElroy
David McMillan
David O'Brien
David Paul Cooper
David Ribeaud
David Richardson
David Rocke
David Stevens
Dawn Miller
Debbie Bosanek
Deepak Kinger
Delfin Rueda
Delfin Rueda Arroyo
Delﬁn Rueda
Delﬁn Rueda Arroyo
Denis Duverne
Denis Jean-Marie Kessler
Denis Kessler
Denis Pierre Marie Duverne
Denise Donoghue
Denise O Donoghue
Denise O'Donoghue
Denise O’Donoghue
Dennis Westfall
Deon Marius Viljoen
Deon Viljoen
Department
Dept.
Derek Bulas
Desmond Smith
Dick Gort
Dieter F. Wemmer
Dieter Wemmer
Dino Robusto
Dinos Iordanou
Director
Director Scotland
Division
Dom Addesso
Dominic Addesso
Dominic Francis Michael Silvester
Dominic J. Addesso
Dominic James Addesso
Dominic Silvester
Don Fox
Donald C. Hunt
Donald Desax
Donald S. Watson
Donald Watson
Doreen Spadorcia
Doris Russi Schurter
Doug Brown
Doug Caldwell
Doug Elliot
Douglas A. Dachille
Douglas Adam Dachille
Douglas Elliot
Douglas G. Elliot
Douglas Graham Elliot
Douglas M. Hodge
Douglas M. Steenland
Douglas Michael Hodge
Douglas Steenland
Duncan Finch
Duncan Russell
E. Friese
Eberhard Mueller
Ed Baird
Ed Noonan
Edi Schmid
Edmond Kartun
Edouard Schmid
Eduardo Perez De Lema Holweg
Eduardo Perez de Lema
Eduardo Perez de Lema Holweg
Eduardo Pérez de Lema
Eduardo Pérez de Lema Holweg
Edward Morris
Eilard Friese
Elaine Whelan
Elena Betes
Elena Logutenkova
Elizabeth A. Werner
Elizabeth B. Farrell
Elizabeth Farrell
Elizabeth Werner
Emma Douglas
Emmanuel Roman
Emmanuel Van Grimbergen
Emmanuelle Roux
Enterprise Business Intelligence & Analytics
Eric Durant
Eric Lecoeur
Eric P. Salsberg
Eric Rutten
Eric Salsberg
Esteban Tejera
Esteban Tejera Montalvo
Etienne Bouas - Laurent
Etienne Bouas-Laurent
Euan G. Munro
Euan George Munro
Euan Munro
Euan Sutherland
Europe
Evan G. Greenberg
Evan Greenberg
Everest Insurance
Ewan Tocher
Ewout Hollegien
Executive
Executive Board
Executive Board & CEO
Executive Committee
Executive Director
Executive Officer of the Specialty Insurance Unit
F. Michael Crowley
Fabian Rupprecht
Fabian Uffer
Felipe Navarro
Felipe Navarro Lopez de Chicheri
Fernando Mata
Fernando Mata Verdejo
Fernando-Perez Serrabona
Filip André Lodewijk Coremans
Filip Coremans
Finance
Financial Reports
Finley T. Harckham
Finn Anonsen
Forrest N. Krutter
Forsikring A/S
Fran Bruce
Francesco Caio
Francois Morin
Francois de Varenne
Frank Kopfinger
Frank O Halloran
Frank O'Halloran
Frank Vandenborre
FranÃ§ois de Varenne
François Morin
François de Varenne
Frdric de Courtois
Frederic Lavenir
Frederic Marie De Courtois D'Arcollieres
Frederic Marie de Courtois D'Arcollieres
Frederic de Courtois
Freeda Cathcart
Frieder Knuepling
Frieder Knupling
Frieder KnÃ¼pling
Frieder Knüpling
FrÃ©dÃ©ric Marie de Courtois D'ArcolliÃ¨res
Frédéric Lavenir
Frédéric Marie de Courtois d'Arcollières
Frédéric de Courtois
Fumiaki Ohkawabata
GI
Gabriele Galateri di Genola e Suniglia
Gabriella Nawi
Gaelle Olivier
Garreth Elston
Gary Brader
Gary Crist
Gary Duggan
Gary Lee Crist
Gary V. Woods
Gaurav D. Garg
Gaëlle Olivier
Geir Holmgren
General Insurance
Generali France
Geoff Carter
George Culmer
George Malcolm Williamson
George Quinn
George Stansﬁeld
George Thwaites
Geoﬀ Carter
Geoﬀrey Carter
Geoﬀrey Richard Carter
Geraint Jones
Gerald Harlin
Gerard Meneroud
Geriant Jones
German Egloff
German Egloﬀ
Gert De Winter
Gert-Jan Heuvelink
Gianandrea Roberti
Gianni Vitale
Gilles Benoist
Gilles Meyer
Giovanni Giuliani
Giulia Raffo
Giulio Terzariol
Giulio Terzariolq
Global Health and Chief Executive Officer of AXA Global Asset Management
Global Health and Chief Executive Oﬃcer of AXA Global Asset Management
Gordon Aitken
Gordon Timmins Watson
Gordon Watson
Grant Davids
Grant Robert Fairlie Speirs
Greg Abel
Greg Hendrick
Greg M. Barats
Greg Toczydlowski
Gregory Abel
Gregory C Toczydlowski
Gregory C. Toczydlowski
Gregory C. Toczydlowskiq
Gregory Charpentier
Gregory E. Abel
Gregory Edward Abel
Gregory S. Hendrick
Gregory Toczydlowski
Greig Paterson
Group
Group Chief Digital Officer
Guido Farer
Guido Furer
Guido Fürer
Guido Maria Nola
Guillaume Borie
Guy Horton
Guy Robert Strapp
Guy Strapp
GÃ©rald Harlin
GÃ¼nther Thallinger
Gérald Harlin
Günther Thallinger
H. C. Figee
H. Chris Figee
Hanro van Heerden
Hans De Cuyper
Hans J. J. De Cuyper
Hans Künzle
Hans de Cuyper
Hans van der Noordaa
Hayley Johnston
Hedwig Ulmer
Hege Yli Melhus
Heidi Skaaret
Heinie Carl Werth
Heinie Werth
Helen M. Wilson
Helen Wilson
Helena Louise Morrissey
Helge Leiro Baastad
Helmut Perlet
Henri de Castries
Henry Allan Engelhardt
Henry Engelhardt
Henry Eric Staunton
Herschel Mayers
Hirokazu Fujita
Hiroshi Amemiya
Hiroshi Asai
Hiroshi Endo
Hock Seng Khor
Honor Julia Eli Solomon
Hugh Taylor
Hélène Maria Vletter-van Dort
Iain Charles Andrew Cornish
Iain Rayner
Ian Fantozzi
Ian Gascoigne
Ian Kelly
Ian Kirk
Ian MacKenzie
Ian Mackenzie
Ian Maxwell Kirk
Ian Stewart Gascoigne
Ichiro Ishii
Ichiro Sato
Idar Kreutzer
Igal Mayer
Ignacio Eyries
Inder Singh
Inga Beale
Inga Kristine Beale
Ingrid Janbu Holthe
Ingrid de Graaf
Ingrid de Swart
Inigo Soto
Insurance
Insurance & Global Business
Insurance Company (UK) Limited
Insurance Company (UK) Limted
Insurance Company Limited
Insurance Division
Investment Partners
Investment and Chief Executive Officer
Investor Relations Director
Isabelle Girard
Ivan de la Sota
Jack Daniels
Jack Howell
Jack Julicher
Jackie Hunt
Jackie Noakes
Jacqueline Hunt
Jacques M. de Vaucleroy
Jacques de Peretti
Jaime Ibañez Tamayo
Jaime Tamayo IbÃ¡Ã±ez
James B. Quin
James Hansen
James Jones
James M. Weber
James McConville
James O'Shaughnessy
James Ockenden
James Quin
James Shea
James Turner
Jan De Meulder
Jan Erik Saugestad
Jan H. Holsboer
Jan Hendrik Holsboer
Jan Nooitgedagt
Jan Otto Risebrobakken
Jan Van Rethy
Jan Willem Weidema
Jan-Hendrik Erasmus
Jane Kleeb
Janet Stuijt
Janne Flessom
Janne Flessum
Janne Merete Flessum
Janne Merethe Flessum
Jarmo Salonen
Jason Michael Windsor
Jason Storah
Jason Windsor
Javier Lorenzo
Jay A. Cohen
Jay Benet
Jay Bullock
Jay Fishman
Jay S Bullock
Jay S. Benet
Jay S. Bullock
Jay S. Fishman
Jay Stanley Bullock
Jay Steven Fishman
Jazz Gakhal
Jean Paul Conoscente
Jean-Baptiste Nessi
Jean-Jacques Hencho
Jean-Jacques Henchoz
Jean-Laurent Granier
Jean-Louis Laurent Josi
Jean-Martin Folz
Jean-Paul Conoscente
Jean-Paul L. Montupet
Jeannette Linfoot
Jeff Davies
Jeff Kelly
Jeffrey D. Kelly
Jeffrey Dailey
Jeffrey John Dailey
Jeffrey Kelly
Jeffrey P. Klenk
Jeffrey Towson
Jelena Bjelanovic
Jelmer Lantinga
Jennifer Allen
Jennifer J. S. Allen
Jennifer Rogers
Jennifer Tselentis
Jeremy A. Noble
Jeremy Andrew Noble
Jeremy Noble
Jerome Jean Haegeli
Jesus Amadori
Jesus Amadori Carrillo
Jim McConville
Jim Root
Jim Williamson
Jimmy Atkins
Joachim Müller
Joachim Racz
Joachim Wenning
Joanne Musselle
Joe Gilmour
Joe Henry
Joe Taranto
Joerg Arnold
Joerg Schneider
Joffy Willcocks
Johan Kirstein Brammer
Johan van Zyl
Johanna Weber
Johannes Wilhelmus Schoen
John B. Pollock
John C. Varnell
John D. Finnegan
John D. Neal
John Dacey
John Doucette
John Finnegan
John Foley
John Hamblin
John Joseph Lupica
John Keogh
John Kinney
John Levenson
John Lister
John Lupica
John M. Green
John McFarlane
John Neal
John P. Doucette
John P. Gainor
John Parry
John Paul Doucett
John Paul Pieper
John Peter Ricketts
John Pollock
John R. Dacey
John Reizenstein
John Robert Dacey
John Rumpler
John Strangfeld
John Varnell
John W. Keogh
John Warburton
John Washington Rogers
John Whorwood
John William Foley
John-Paul Crutchley
Jon Hancock
Jon Hocking
Jon Levenson
Jon Soberg
Jon Steinlauf
Jon Zaffino
Jonathan Broomberg
Jonathan Daniels
Jonathan Greenwood
Jonathan M. Zaffino
Jonathan Martin Zaffino
Jonathan Paul Greenwood
Jonathan Ross Bennett
Jonathan Stanley Hill
Jonathan Willcocks
Jonathan Yates
Jonathan Zaffino
Jonny Creagh-Coen
Jorg Schneider
Jos Baeten
Jos P. M. Baeten
Jose Antonio Arias
Jose Luis Jimenez Guajardo-Fajardo
Jose Manuel Inchausti Perez
Jose Vazquez
Joseph C. Henry
Joseph F. Wayland
Joseph Henry
Joseph Taranto
Joseph V. Taranto
Josh MacDonald
Josh Stirling
Joshua Shanker
Josselin Kalifa
Jostein Amdal
José Luis Jiménez Guajardo-Fajardo
José Manuel Inchausti
Jozef G. de Mey
Juan Andrade
Juan C. Andrade
Juan Carlos Andrade
Judhajit Das
Juergen Graeber
Julia La Roche
Julien Parot
Junichi Tanaka
Junior John Ngulube
Jurgen van Rossum
Jurie Strydom
Justin Brown
JÃ¶rg Schneider
JÃ¼rgen GrÃ¤ber
Jérôme Droesch
Jörg Schneider
K. T. V. Bergstein
Kaare Ostgaard
Karen Beyer
Karen L. Beyer
Karen Wallace
Karen Wright
Kari Henrik Stadigh
Kari Stadigh
Karima Silvent
Karin Greve-Isdahl
Karin T. V. Bergstein
Karl Socikwa
Karl Steinle
Karsten Crede
Kate Sampson
Kate Vennell
Kathleen Savio
Kathryn M. Lisson
Kathy Ireland
Kazuhisa Tamura
Keith Alfred McCue
Keith McCue
Keith McCute
Ken Anderson
Ken Mass
Ken Norgrove
Ken Tanji
Kengo Sakurada
Kenji Iwasaki
Kenneth Anderson
Kerrigan Procter
Kerrigan Proctor
Kerrigan William Procter
Kevin Chidwick
Kevin Hogan
Kevin J. O'Donnell
Kevin J. Rehnberg
Kevin Joseph O'Donnell
Kevin Kerridge
Kevin O'Donnell
Kevin Rehnberg
Kevin T. Hogan
Kevin Whitaker
Kim Rud-Petersen
Kirstine Cooper
Kiyoshi Wada
Kjetil Krokje
Kjetil R. Krokje
Kjetil Ramberg Krokje
Kjetil Ramberg Krøkj
Kjetil Ramberg Krøkje
Klaus Miller
Klaus Wilhelm Miller
Klaus-Peter RÃ¶hler
Knupling Frieder
Knut Alsaker
Knut Arne Alsaker
Knut-Arne Alsaker
Kobus Moller
Kobus Möller
Koichi Narasaki
Koji Iwai
Kristof Terryn
Kunihiko Fujii
Kurt De Schepper
Kurt Karl
Kurt de Schepper
Lance Batchelor
Lance Henry Batchelor
Lard Friese
Lars Aa Loddesol
Lars Aa. Loddesol
Lars Aasulv Loddesol
Lars Aasulv Løddesøl
Lars Goran Bjerklund
Lars Kufall Beck
Lars Loddesol
Lars Moeller
Lars Moller
Lars Møller
Lars Thykier
Laura Doyle
Laura Furlan
Laura Mason
Laura Prieskorn
Lauren Day
Lauren E. Lonergan
Laurent J. Rousseau
Laurent Jumelle
Laurent Rousseau
Lee Klaskow
Leon van Riet
Leonardo Meoli
Life Insurance Company
Lilian Ng
Limited
Linda Ventresca
Line M. Hestvik
Lines
Lize Lambrechts
Lorna Connelly
Lotz Mahlangeni
Lou Ann Layton
Lou Iglesias
Louis Marcotte
Louise O'Shea
Ltd.
Luca Gagliardi
Luca Torchia
Lucia Silva
Luciano Cirina
Luigi Ferraris
Luigi Lubeli
Luigi Lubell
Luigi Lubelli
Luis Davila
Luke Savage
M. H. Verwoest
MAPFRE S.A and Chief Executive Officer of Mapfre S.A.
Maamoun Rajeh
Maarten Edixhoven
Makoto Okada
Malcolm Williamson
Management
Management Board
Management Board of Aegon N.V.
Manager
Managers
Managing Executive Officer & Director
Manfred Gasser
Manish Kumar
Marc D. Hamburg
Marc E. Schmittlein
Marc Grandisson
Marc Kaiser
Marcelo Sayem
Marcia Wadsten
Marco Morelli
Marco Sesana
Marco Siracusano
Marcus Winter
Marie Grison
Marine & Nichido Fire
Mario Greco
Mario J. Gabelli
Marisja Kocznur
Mark Andrew Wilson
Mark D. Lyons
Mark Donald Lyons
Mark E Watson
Mark E. Watson
Mark E. Watson III
Mark Edmund Watson
Mark Evans
Mark FitzPatrick
Mark Gregory
Mark Grier
Mark H Rose
Mark H. Rose
Mark Hodges
Mark J. Gregory
Mark J. Zinkula
Mark Joseph Zinkula
Mark Klein
Mark Kociancic
Mark Lyons
Mark Mullin
Mark Pearson
Mark Satchel
Mark Smith
Mark Thomas FitzPatrick
Mark Tullis
Mark Vasina
Mark Watkins
Mark Watson
Mark William Mullin
Mark William Reid Smith
Mark Wilson
Mark Zinkula
Markus Gemperle
Markus Holtz
Markus Rie
Markus Riess
Markus Rieß
Martin Beaulieu
Martin Bride
Martin Coriat
Martin Danielsen
Martin Jara
Martin Lindsay Bride
Martin Senn
Martin Strobel
Martin Tschopp
Martin Wenk
Marty Becker
Mary Forrest
Masahiro Hamada
Masahiro Matsumoto
Masashi Oba
Massimiliano R Riggi
Massimiliano R. Riggi
Massimiliano Riggi
Massimo Molinari
Massimo Rosini
Massimo Rosini - Head of Mail & Parcel
Mathieu Lamy
Mats Gottschalk
Matt Hotson
Matt Rider
Matt Rohrmann
Matt Wright
Matteo Del Fante
Matteo del Fante
Matthew Atkinson
Matthew J Rohrmann
Matthew J. Rider
Matthew James Rider
Matthew K. Rose
Matthew Kailey Fosh
Matthew Palazola
Matthew Rider
Matthew Rohrmann
Matthew Wilson
Matthias Henny
Matthias Weber
Matthieu Andre
Matthieu André
Mattieu Rouot
Maurice Ewen Tulloch
Maurice Koopman
Maurice Tulloch
Maximilian Zimmerer
Meredith Benton
Meryam Omi
Meyer Shields
Michael A. Butt
Michael A. Linton
Michael Andrew Wells
Michael Brown
Michael Cohen
Michael Crowley
Michael Diekmann
Michael Eakins
Michael F Klein
Michael F. Klein
Michael Falcon
Michael G. McLintock
Michael Holliday-Williams
Michael Igor Huttner
Michael Irving Falcon
Michael J. T. Ford
Michael James McGuire
Michael John Templeton Ford
Michael John Wilkins
Michael Karmilowicz
Michael Klein
Michael Lies
Michael McLintock
Michael Pickel
Michael Rowell
Michael Smith
Michael Wells
Michel Bois
Michel H. Verwoest
Michel Huelters
Michel Hulters
Michel HÃ¼lters
Michel Hülters
Michel M. Liès
Michele Bang
Michelle Qi
Michelle Scrimgeour
Michiel van Katwijk
Miguel Azpeitia
Miguel Ortiz
Mikaël Cohen
Mike Berry
Mike Brown
Mike Bury
Mike Crowley
Mike Donovan
Mike Eakins
Mike Foley
Mike Holliday-Williams
Mike Karmilowicz
Mike Wells
Mike Wilson
Mikio Okumura
Milena Mondini
Milena Mondini de Focatiis
Mirko Hurmerinta
Mitra Hagen Negaad
Mitra Hagen Negard
Mitra Hagen Negrd
Mitra Hagen Negård
Mitra Negard
Mlondolozi Mahlangeni
Monica Biccari
Monique Shivanandan
Morris Tooker
Morten Hubbe
Morten Huebbe
Morten HÃ¼bbe
Morten Hübbe
Morten Thorsrud
Moses I. Ojeisekhoba
Moses Ojeisekhoba
Mr. Kurimisaka
Musa Malwandla
Myles Udland
N.S. Kannan
Nampei Yanagawa
Naomi Ito
Natalia Nunez
Natalia Nunez Arana
Natalia NÃºÃ±ez Arana
Natalia Núñez Arana
Natalie Kershaw
Neil David Manser
Neil Drabsch
Neil Maidment
Neil Manser
Neil McConachie
Neil Patrick Maidment
Neill Currie
Neville Koopowitz
Nic Nicandrou
Nicholas Gartside
Nicholas Lyons
Nicholas Packer
Nick Amin
Nick Hayes
Nick Lane
Nicola Hartley
Nicolaos Andreas Nicandrou
Nicolaos Nicandrou
Nicolas Papadopoulo
Nicole Sinclair
Nigel D. Wilson
Nigel David Wilson
Nigel Wilson
Nikhil Srinivasan
Nikolaus von Bomhard
Niran C. Peiris
Nishit Piyush Majmudar
Nitinbhai Babubhai Maganbhai Amin
Nobuhiro Kojima
Noel Summerfield
Nora N. Crouch
Odd Arild Grefstad
Odd Grefstad
Of Enterprise Business Intelligence & Analytics
Officer
Officer & Director
Officer at Sompo International Holdings Ltd.
Oliver Baete
Oliver Bate
Oliver BÃ¤te
Oliver Bäte
Oliver KlÃ¼h
Oliver Schmidt
Olivier Armengaud
Olivier Guigne
Olivier Mariée
Operator
Orla Gregory
Osamu Nose
Otmar Bodner
P. Chad Myers
Paige M Steffan
Paolo De Martin
Paolo de Martin
Paris Hadjiantonis
Pascal Barbato
Pascal Gonzalvez
Pat Curtin
Pat Egan
Pat Regan
Patrick Barbea
Patrick Barbeau
Patrick Bowes
Patrick C. Regan
Patrick Charles Regan
Patrick Cohen
Patrick Curtin
Patrick Dixneuf
Patrick Gerard Flynn
Patrick Hartnic
Patrick Klijnsmit
Patrick Raaflaub
Patrick Regan
Paul Anka
Paul Bantick
Paul C. Rivett
Paul Chad Myers
Paul Chadwick Myers
Paul Evans
Paul Feeney
Paul Geddes
Paul Gregory
Paul Hanratty
Paul J. Krump
Paul James O'Shea
Paul Krump
Paul Manduca
Paul Norton
Paul O'Shea
Paul O’Connell
Paul Rivett
Paul Robert Geddes
Paul Simpson
Paul Stanwick
Paul Stanworth
Paul W. Feeney
Penelope Jane James
Penny James
Personal Insurance
Pete Vogt
Peter Brondt
Peter Clarke
Peter Cooper
Peter David Scales
Peter Du Toit
Peter Edwards
Peter Eliot
Peter Enns
Peter Hermann
Peter Hill
Peter J. Hill
Peter J. Vogt
Peter Johansson
Peter John Vogt
Peter Kristian Johansson
Peter S. Clarke
Peter S. Zaffino
Peter Scales
Peter Vogt
Peter W. Wilson
Peter Wilson
Peter Zaffino
Petros Papanikolaou
Phil Bancroft
Philip Bancroft
Philip Edmundson
Philip Long
Philip Stefano
Philip V. Bancroft
Philipp Gmuer
Philipp Gmur
Philipp GmÃ¼r
Philipp Gmür
Philippe Brahin
Philippe Donnet
Philippe Roger Donnet
Philippe Wits
Phoenix Group
Pierangelo Campopiano
Prem Watsa
Property and Casual Reinsurance
Q
Quentin Boudoux
Quentin McMillan
RE and Executive Committee Member
Raghu Hariharan
Raghunath Hariharan
Rakesh Thakrar
Ralph A. J. G. Hamers
Ralph A. Jeitziner
Ralph Honegger
Ralph-Thomas Honegger
Ramon Carrasco
Ramón Carrasco
Raul Vargas
Rebecca Clapham
Rebecca K. Amick
Rebecca Quick
Regulation
Reinsurance Division
Renate KÃ¶cher
Rene Floystol
Representative Director
Research
Retirement
Reto Keller
Ricard Wennerklint
Rich Carbone
Richard Brindle
Richard Burden
Richard Farber
Richard Gradidge
Richard Hoskins
Richard Miller
Richard Montminy
Richard Pryce
Richard R. Whitt
Richard Reeves Whitt
Richard Spiro
Richard T. Gieryn
Richard Ward
Richard Whitt
Richard Whitt III
Richard Williams
Richie Whitt
Rick Gieryn
Rick Salsberg
Ricky Farber
Ricky Spiro
Risk
Ritchie Whitt
Ritesh Kumar
Rob Devey
Rob Falzon
Robert Allan
Robert Childs
Robert Falzon
Robert Gardner
Robert J. Routs
Robert Johnson Campbell
Robert P. Miles
Robert Qutub
Robert Roux
Robert S. Schimek
Robert W. Peterson
Roberto Giacchi
Robin Hjelgaard Lofgren
Robin Shaw
Robin Spencer
Roddy Thomson
Rodney Cook
Rodney Malcolm Cook
Roger Ramsden
Roland Bentele
Roland Helmut Vogel
Roland Vogel
Romain Launay
Ron Olson
Ronald Blumkin
Ronald L. Olson
Ronald Olson
Rose Marie E. Glazer
Roy Smith
Rutger Zomer
Ryan Krueger
Ryan Noach
Sabra Purtill
Sabra Rose Purtill
Sally Lake
Sally Michelle Lake
Samantha Cheung
Sami Taipalus
Sarah Aitken
Sarah DeWitt
Sasaki
Satish Bapat
Satoru Komiya
Satoru Shiono
Satoshi Hironaka
Satoshi Kasai
Satya Nadella
Satyan Jambunathan
Scott A. Carmilani
Scott Cargill
Scott Carmilani
Scott Gunter
Scott Kirk
Scott McFie
Sean Ringsted
Sergio Balbinot
Seth Harris
Shane Grady
Sharon Heck
Sharon L. Heck
Sharry Tibbitt
Shayne Paul Deighton
Shin-Ichiro Okada
Shingo Kawaguchi
Shinichi Hara
Shinichi Hirose
Shinichiro Funabiki
Shinji Tsuji
Shiro Fujii
Shiro Sasaki
Shozo Mori
Shubha Khan
Shuzo Sumi
Siddhartha Sankaran
Sigbjorn Birkeland
Sigbjørn Birkeland
Silke Sehm
